query,sql
What is the average of Classification of household consumption in East Asia & Pacific in 2009,SELECT avg(classification_of_household_consumption) FROM spi_index_labelled_vFinal WHERE region = 'East Asia & Pacific' AND date = 2009
Data Use Score and Non_Proprietary format Score of Cameroon since 2005.,"SELECT data_use_score , non_proprietary_format_score FROM spi_index_labelled_vFinal WHERE date > 2005 AND country = 'Cameroon'"
maximum of CRVS (WDI)?,SELECT max(crvs_(wdi)) FROM spi_index_labelled_vFinal
Tell me the Countries having SPI Overall Score between 34 and 85 in 2006?,SELECT country FROM spi_index_labelled_vFinal WHERE spi_overall_score > 34 AND spi_overall_score < 85 AND date = 2006
maximum of Legislation Indicator based on PARIS21 indicators on SDG 17.18.2,SELECT max(legislation_indicator_based_on_paris21_indicators_on_sdg_17.18.2) FROM spi_index_labelled_vFinal
List Terms of Use Score and Download Options Score of United States since 2005,"SELECT terms_of_use_score , download_options_score FROM spi_index_labelled_vFinal WHERE date > 2005 AND country = 'United States'"
total of Legislation Indicator based on PARIS21 indicators on SDG 17.18.2.,SELECT sum(legislation_indicator_based_on_paris21_indicators_on_sdg_17.18.2) FROM spi_index_labelled_vFinal
Countries having ODIN Open Data Openness Score between 0.1 and 0.6?,SELECT country FROM spi_index_labelled_vFinal WHERE odin_open_data_openness_score > 0.1 AND odin_open_data_openness_score < 0.6
minimum of weights in 2007?,SELECT min(weights) FROM spi_index_labelled_vFinal WHERE date = 2007
income of Mali before 2005?,SELECT income FROM spi_index_labelled_vFinal WHERE date < 2005 AND country = 'Mali'
List of Decent Work and Economic Growth of St. Lucia after 2010.,SELECT decent_work_and_economic_growth FROM spi_index_labelled_vFinal WHERE date > 2010 AND country ='St. Lucia'
List maximum of Decent Work and Economic Growth in Europe & Central Asia in 2014,SELECT max(decent_work_and_economic_growth) FROM spi_index_labelled_vFinal WHERE region = 'Europe & Central Asia' AND date = 2014
Countries having Machine Readability Score between 0.0 and 0.3.,SELECT country FROM spi_index_labelled_vFinal WHERE machine_readability_score > 0.0 AND machine_readability_score < 0.3
Show me Top 56 countries by SDDS/e-GDDS subscription,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'sdds/e-gdds_subscription' DESC LIMIT 56
Non_Proprietary format Score and Data Products Score of United Arab Emirates since 2007?,"SELECT non_proprietary_format_score , data_products_score FROM spi_index_labelled_vFinal WHERE date > 2007 AND country = 'United Arab Emirates'"
Countries having Data Use Score between 12 and 20.,SELECT country FROM spi_index_labelled_vFinal WHERE data_use_score > 12 AND data_use_score < 20
List Countries having Data Sources Score between 1 and 3 in 2019?,SELECT country FROM spi_index_labelled_vFinal WHERE data_sources_score > 1 AND data_sources_score < 3 AND date = 2019
Countries having Metadata Available Score between 0.3 and 0.7?,SELECT country FROM spi_index_labelled_vFinal WHERE metadata_available_score > 0.3 AND metadata_available_score < 0.7
List Top 64 countries by Agriculture census.,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'agriculture_census' DESC LIMIT 64
Data Infrastructure Score and ODIN Open Data Openness Score of United States since 2010,"SELECT data_infrastructure_score , odin_open_data_openness_score FROM spi_index_labelled_vFinal WHERE date > 2010 AND country = 'United States'"
Agriculture census and Zero Hunger of New Caledonia since 2011,"SELECT agriculture_census , zero_hunger FROM spi_index_labelled_vFinal WHERE date > 2011 AND country = 'New Caledonia'"
Countries having ODIN Open Data Openness Score between 0.0 and 0.2,SELECT country FROM spi_index_labelled_vFinal WHERE odin_open_data_openness_score > 0.0 AND odin_open_data_openness_score < 0.2
SPI Overall Score of Israel in 2019,SELECT spi_overall_score FROM spi_index_labelled_vFinal WHERE country = 'Israel' AND date = 2019
count of Social Statistics in 2009,SELECT count(social_statistics) FROM spi_index_labelled_vFinal WHERE date = 2009
maximum Decent Work and Economic Growth by region?,"SELECT max(decent_work_and_economic_growth), region FROM spi_index_labelled_vFinal GROUP BY region"
Countries having Download Options Score between 0.1 and 0.2 in 2013.,SELECT country FROM spi_index_labelled_vFinal WHERE download_options_score > 0.1 AND download_options_score < 0.2 AND date = 2013
minimum No Poverty by region,"SELECT min(no_poverty), region FROM spi_index_labelled_vFinal GROUP BY region"
Countries having Data Service Score between 12 and 12 in 2011.,SELECT country FROM spi_index_labelled_vFinal WHERE data_service_score > 12 AND data_service_score < 12 AND date = 2011
Countries having SPI Overall Score between 64 and 73 in 2007?,SELECT country FROM spi_index_labelled_vFinal WHERE spi_overall_score > 64 AND spi_overall_score < 73 AND date = 2007
Data Sources Score of Cyprus in 2015.,SELECT data_sources_score FROM spi_index_labelled_vFinal WHERE country = 'Cyprus' AND date = 2015
Tell me the minimum of iso3c in Europe & Central Asia in 2015,SELECT min(iso3c) FROM spi_index_labelled_vFinal WHERE region = 'Europe & Central Asia' AND date = 2015
List Business process of El Salvador before 2008.,SELECT business_process FROM spi_index_labelled_vFinal WHERE date < 2008 AND country = 'El Salvador'
Machine Readability Score of Angola in 2019.,SELECT machine_readability_score FROM spi_index_labelled_vFinal WHERE country = 'Angola' AND date = 2019
total of No Poverty in 2016.,SELECT sum(no_poverty) FROM spi_index_labelled_vFinal WHERE date = 2016
Top 6 countries by Affordable and Clean Energy,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'affordable_and_clean_energy' DESC LIMIT 6
Top 25 countries by Data services.,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'data_services' DESC LIMIT 25
Partnerships to achieve the Goal of Myanmar after 2017.,SELECT partnerships_to_achieve_the_goal FROM spi_index_labelled_vFinal WHERE date > 2017 AND country ='Myanmar'
Data Service Score of Hungary in 2005.,SELECT data_service_score FROM spi_index_labelled_vFinal WHERE country = 'Hungary' AND date = 2005
total of Sustainable Cities and Communities in East Asia & Pacific?,SELECT sum(sustainable_cities_and_communities) FROM spi_index_labelled_vFinal WHERE region = 'East Asia & Pacific'
Metadata Available Score and Data Service Score of Puerto Rico since 2010.,"SELECT metadata_available_score , data_service_score FROM spi_index_labelled_vFinal WHERE date > 2010 AND country = 'Puerto Rico'"
Countries having Metadata Available Score between 0.1 and 0.2 in 2007?,SELECT country FROM spi_index_labelled_vFinal WHERE metadata_available_score > 0.1 AND metadata_available_score < 0.2 AND date = 2007
maximum of National Accounts base year in 2008.,SELECT max(national_accounts_base_year) FROM spi_index_labelled_vFinal WHERE date = 2008
Countries having Data Products Score between 12 and 20 in 2007.,SELECT country FROM spi_index_labelled_vFinal WHERE data_products_score > 12 AND data_products_score < 20 AND date = 2007
minimum Legislation Indicator based on PARIS21 indicators on SDG 17.18.2 by region?,"SELECT min(legislation_indicator_based_on_paris21_indicators_on_sdg_17.18.2), region FROM spi_index_labelled_vFinal GROUP BY region"
average of Social Statistics in South Asia.,SELECT avg(social_statistics) FROM spi_index_labelled_vFinal WHERE region = 'South Asia'
Online access of Luxembourg after 2014.,SELECT online_access FROM spi_index_labelled_vFinal WHERE date > 2014 AND country ='Luxembourg'
Non_Proprietary format Score of Monaco in 2018.,SELECT non_proprietary_format_score FROM spi_index_labelled_vFinal WHERE country = 'Monaco' AND date = 2018
Countries having SPI Overall Score between 12 and 100?,SELECT country FROM spi_index_labelled_vFinal WHERE spi_overall_score > 12 AND spi_overall_score < 100
List Countries having Data Products Score between 25 and 41 in 2006.,SELECT country FROM spi_index_labelled_vFinal WHERE data_products_score > 25 AND data_products_score < 41 AND date = 2006
"Show me maximum of Industry, Innovation and Infrastructure in Middle East & North Africa in 2014.",SELECT max(industry_innovation_and_infrastructure) FROM spi_index_labelled_vFinal WHERE region = 'Middle East & North Africa' AND date = 2014
Data Infrastructure Score and Terms of Use Score of Netherlands since 2012,"SELECT data_infrastructure_score , terms_of_use_score FROM spi_index_labelled_vFinal WHERE date > 2012 AND country = 'Netherlands'"
Data Use Score of Samoa in 2014,SELECT data_use_score FROM spi_index_labelled_vFinal WHERE country = 'Samoa' AND date = 2014
System of national accounts in use of Estonia after 2018?,SELECT system_of_national_accounts_in_use FROM spi_index_labelled_vFinal WHERE date > 2018 AND country ='Estonia'
minimum of weights in 2012?,SELECT min(weights) FROM spi_index_labelled_vFinal WHERE date = 2012
average of Gender Equality in South Asia in 2011,SELECT avg(gender_equality) FROM spi_index_labelled_vFinal WHERE region = 'South Asia' AND date = 2011
List of Countries having Machine Readability Score between 0.1 and 0.5 in 2005,SELECT country FROM spi_index_labelled_vFinal WHERE machine_readability_score > 0.1 AND machine_readability_score < 0.5 AND date = 2005
Countries having Metadata Available Score between 0.7 and 0.9 in 2011?,SELECT country FROM spi_index_labelled_vFinal WHERE metadata_available_score > 0.7 AND metadata_available_score < 0.9 AND date = 2011
Countries having SPI Overall Score between 7 and 13.,SELECT country FROM spi_index_labelled_vFinal WHERE spi_overall_score > 7 AND spi_overall_score < 13
Countries having Machine Readability Score between 0.0 and 0.1?,SELECT country FROM spi_index_labelled_vFinal WHERE machine_readability_score > 0.0 AND machine_readability_score < 0.1
List of Compilation of government finance statistics of Turkmenistan before 2006?,SELECT compilation_of_government_finance_statistics FROM spi_index_labelled_vFinal WHERE date < 2006 AND country = 'Turkmenistan'
Show me minimum of CPI base year in 2005,SELECT min(cpi_base_year) FROM spi_index_labelled_vFinal WHERE date = 2005
maximum of Finance Indicator based on PARIS21 indicators on SDG 17.18.3 & SDG 17.19.1 in 2008,SELECT max(finance_indicator_based_on_paris21_indicators_on_sdg_17.18.3_&_sdg_17.19.1) FROM spi_index_labelled_vFinal WHERE date = 2008
Find the minimum of Zero Hunger?,SELECT min(zero_hunger) FROM spi_index_labelled_vFinal
minimum of Classification of household consumption.,SELECT min(classification_of_household_consumption) FROM spi_index_labelled_vFinal
Top 32 countries by Agriculture survey,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'agriculture_survey' DESC LIMIT 32
CRVS (WDI) and Agriculture census of Trinidad and Tobago since 2011,"SELECT crvs_(wdi) , agriculture_census FROM spi_index_labelled_vFinal WHERE date > 2011 AND country = 'Trinidad and Tobago'"
Find the Economic Statistics of Bermuda after 2016,SELECT economic_statistics FROM spi_index_labelled_vFinal WHERE date > 2016 AND country ='Bermuda'
count of Affordable and Clean Energy?,SELECT count(affordable_and_clean_energy) FROM spi_index_labelled_vFinal
maximum of National Accounts base year in 2010,SELECT max(national_accounts_base_year) FROM spi_index_labelled_vFinal WHERE date = 2010
Top 6 countries by income,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'income' DESC LIMIT 6
Countries having Terms of Use Score between 0.8 and 0.9.,SELECT country FROM spi_index_labelled_vFinal WHERE terms_of_use_score > 0.8 AND terms_of_use_score < 0.9
Countries having Data Sources Score between 4 and 12?,SELECT country FROM spi_index_labelled_vFinal WHERE data_sources_score > 4 AND data_sources_score < 12
"Social Statistics and Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME of Ethiopia since 2012","SELECT social_statistics , availability_of_mortality_rate_under-5_(per_1000_live_births)_data_meeting_quality_standards_according_to_un_igme FROM spi_index_labelled_vFinal WHERE date > 2012 AND country = 'Ethiopia'"
Tell me the minimum of CRVS (WDI) in Europe & Central Asia,SELECT min(crvs_(wdi)) FROM spi_index_labelled_vFinal WHERE region = 'Europe & Central Asia'
Find the Quality Education of Rwanda in 2015?,SELECT quality_education FROM spi_index_labelled_vFinal WHERE country = 'Rwanda' AND date = 2015
National Accounts base year and SDDS/e-GDDS subscription of Nicaragua since 2018,"SELECT national_accounts_base_year , sdds/e-gdds_subscription FROM spi_index_labelled_vFinal WHERE date > 2018 AND country = 'Nicaragua'"
count of Social Statistics in North America in 2005.,SELECT count(social_statistics) FROM spi_index_labelled_vFinal WHERE region = 'North America' AND date = 2005
average of Business/establishment census in North America in 2004.,SELECT avg(business/establishment_census) FROM spi_index_labelled_vFinal WHERE region = 'North America' AND date = 2004
"Industry, Innovation and Infrastructure of Guam in 2019.",SELECT industry_innovation_and_infrastructure FROM spi_index_labelled_vFinal WHERE country = 'Guam' AND date = 2019
Tell me the total of Legislation Indicator based on PARIS21 indicators on SDG 17.18.2 in 2016.,SELECT sum(legislation_indicator_based_on_paris21_indicators_on_sdg_17.18.2) FROM spi_index_labelled_vFinal WHERE date = 2016
List minimum of Labor Force Survey in East Asia & Pacific?,SELECT min(labor_force_survey) FROM spi_index_labelled_vFinal WHERE region = 'East Asia & Pacific'
List Countries having Data Products Score between 51 and 99 in 2007,SELECT country FROM spi_index_labelled_vFinal WHERE data_products_score > 51 AND data_products_score < 99 AND date = 2007
minimum Partnerships to achieve the Goal by region,"SELECT min(partnerships_to_achieve_the_goal), region FROM spi_index_labelled_vFinal GROUP BY region"
maximum Sustainable Cities and Communities by region,"SELECT max(sustainable_cities_and_communities), region FROM spi_index_labelled_vFinal GROUP BY region"
Countries having Data Service Score between 9 and 25 in 2017?,SELECT country FROM spi_index_labelled_vFinal WHERE data_service_score > 9 AND data_service_score < 25 AND date = 2017
Sustainable Cities and Communities of Channel Islands in 2014.,SELECT sustainable_cities_and_communities FROM spi_index_labelled_vFinal WHERE country = 'Channel Islands' AND date = 2014
Tell me the Countries having Machine Readability Score between 0.1 and 0.4,SELECT country FROM spi_index_labelled_vFinal WHERE machine_readability_score > 0.1 AND machine_readability_score < 0.4
Tell me the average Affordable and Clean Energy by region?,"SELECT avg(affordable_and_clean_energy), region FROM spi_index_labelled_vFinal GROUP BY region"
population of Palau before 2015.,SELECT population FROM spi_index_labelled_vFinal WHERE date < 2015 AND country = 'Palau'
average population by region,"SELECT avg(population), region FROM spi_index_labelled_vFinal GROUP BY region"
Data Use Score and Download Options Score of Madagascar since 2019.,"SELECT data_use_score , download_options_score FROM spi_index_labelled_vFinal WHERE date > 2019 AND country = 'Madagascar'"
Top 39 countries by SDDS/e-GDDS subscription?,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'sdds/e-gdds_subscription' DESC LIMIT 39
Legislation and governance of Bulgaria after 2007?,SELECT legislation_and_governance FROM spi_index_labelled_vFinal WHERE date > 2007 AND country ='Bulgaria'
Quality Education of Somalia in 2019.,SELECT quality_education FROM spi_index_labelled_vFinal WHERE country = 'Somalia' AND date = 2019
List of Responsible Consumption and Production of Kenya in 2015.,SELECT responsible_consumption_and_production FROM spi_index_labelled_vFinal WHERE country = 'Kenya' AND date = 2015
Countries having SPI Overall Score between 39 and 98,SELECT country FROM spi_index_labelled_vFinal WHERE spi_overall_score > 39 AND spi_overall_score < 98
Countries having Data Use Score between 5 and 51 in 2008,SELECT country FROM spi_index_labelled_vFinal WHERE data_use_score > 5 AND data_use_score < 51 AND date = 2008
maximum Geospatial Data by region.,"SELECT max(geospatial_data), region FROM spi_index_labelled_vFinal GROUP BY region"
total of Geospatial data available at 1st Admin Level,SELECT sum(geospatial_data_available_at_1st_admin_level) FROM spi_index_labelled_vFinal
Data Products Score of Tuvalu in 2007.,SELECT data_products_score FROM spi_index_labelled_vFinal WHERE country = 'Tuvalu' AND date = 2007
List of Data Infrastructure Score of Palau in 2006?,SELECT data_infrastructure_score FROM spi_index_labelled_vFinal WHERE country = 'Palau' AND date = 2006
"Top 32 countries by Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME.",SELECT country FROM spi_index_labelled_vFinal ORDER BY 'availability_of_mortality_rate_under-5_(per_1000_live_births)_data_meeting_quality_standards_according_to_un_igme' DESC LIMIT 32
Administrative Data of Kazakhstan after 2017,SELECT administrative_data FROM spi_index_labelled_vFinal WHERE date > 2017 AND country ='Kazakhstan'
NADA metadata of Barbados after 2006?,SELECT nada_metadata FROM spi_index_labelled_vFinal WHERE date > 2006 AND country ='Barbados'
Countries having Data Service Score between 4 and 17 in 2012.,SELECT country FROM spi_index_labelled_vFinal WHERE data_service_score > 4 AND data_service_score < 17 AND date = 2012
maximum of Business/establishment census in North America in 2009,SELECT max(business/establishment_census) FROM spi_index_labelled_vFinal WHERE region = 'North America' AND date = 2009
Central government accounting status and Peace and Justice Strong Institutions of Jamaica since 2006.,"SELECT central_government_accounting_status , peace_and_justice_strong_institutions FROM spi_index_labelled_vFinal WHERE date > 2006 AND country = 'Jamaica'"
SDDS/e-GDDS subscription and Sustainable Cities and Communities of Ecuador since 2015.,"SELECT sdds/e-gdds_subscription , sustainable_cities_and_communities FROM spi_index_labelled_vFinal WHERE date > 2015 AND country = 'Ecuador'"
count Legislation and governance by region.,"SELECT count(legislation_and_governance), region FROM spi_index_labelled_vFinal GROUP BY region"
Business process and No Poverty of Luxembourg since 2014?,"SELECT business_process , no_poverty FROM spi_index_labelled_vFinal WHERE date > 2014 AND country = 'Luxembourg'"
Data Sources Score and Data Products Score of Greece since 2004.,"SELECT data_sources_score , data_products_score FROM spi_index_labelled_vFinal WHERE date > 2004 AND country = 'Greece'"
Tell me the CRVS (WDI) and Environmental Statistics of French Polynesia since 2012?,"SELECT crvs_(wdi) , environmental_statistics FROM spi_index_labelled_vFinal WHERE date > 2012 AND country = 'French Polynesia'"
Peace and Justice Strong Institutions and Reduced Inequality of Malawi since 2019,"SELECT peace_and_justice_strong_institutions , reduced_inequality FROM spi_index_labelled_vFinal WHERE date > 2019 AND country = 'Malawi'"
total of Finance in 2013?,SELECT sum(finance) FROM spi_index_labelled_vFinal WHERE date = 2013
Countries having ODIN Open Data Openness Score between 0.0 and 0.5,SELECT country FROM spi_index_labelled_vFinal WHERE odin_open_data_openness_score > 0.0 AND odin_open_data_openness_score < 0.5
List of Countries having Machine Readability Score between 0.1 and 0.3.,SELECT country FROM spi_index_labelled_vFinal WHERE machine_readability_score > 0.1 AND machine_readability_score < 0.3
What is the ODIN Open Data Openness Score and Download Options Score of Djibouti since 2005?,"SELECT odin_open_data_openness_score , download_options_score FROM spi_index_labelled_vFinal WHERE date > 2005 AND country = 'Djibouti'"
Data Releases of Norway before 2019?,SELECT data_releases FROM spi_index_labelled_vFinal WHERE date < 2019 AND country = 'Norway'
SDDS/e-GDDS subscription of Ukraine before 2018?,SELECT sdds/e-gdds_subscription FROM spi_index_labelled_vFinal WHERE date < 2018 AND country = 'Ukraine'
maximum of Classification of status of employment in Latin America & Caribbean,SELECT max(classification_of_status_of_employment) FROM spi_index_labelled_vFinal WHERE region = 'Latin America & Caribbean'
"Machine Readability Score of Egypt, Arab Rep. in 2011","SELECT machine_readability_score FROM spi_index_labelled_vFinal WHERE country = 'Egypt, Arab Rep.' AND date = 2011"
Business/establishment survey of Guinea in 2013,SELECT business/establishment_survey FROM spi_index_labelled_vFinal WHERE country = 'Guinea' AND date = 2013
Standards and Methods of Solomon Islands in 2007,SELECT standards_and_methods FROM spi_index_labelled_vFinal WHERE country = 'Solomon Islands' AND date = 2007
"Institutional Statistics of Venezuela, RB after 2008","SELECT institutional_statistics FROM spi_index_labelled_vFinal WHERE date > 2008 AND country ='Venezuela, RB'"
average of National Accounts base year in Europe & Central Asia?,SELECT avg(national_accounts_base_year) FROM spi_index_labelled_vFinal WHERE region = 'Europe & Central Asia'
Show me average of Sustainable Cities and Communities in South Asia?,SELECT avg(sustainable_cities_and_communities) FROM spi_index_labelled_vFinal WHERE region = 'South Asia'
Countries having SPI Overall Score between 69 and 71.,SELECT country FROM spi_index_labelled_vFinal WHERE spi_overall_score > 69 AND spi_overall_score < 71
minimum of Zero Hunger in Latin America & Caribbean.,SELECT min(zero_hunger) FROM spi_index_labelled_vFinal WHERE region = 'Latin America & Caribbean'
Find the Censuses only of Rwanda before 2005,SELECT censuses_only FROM spi_index_labelled_vFinal WHERE date < 2005 AND country = 'Rwanda'
Tell me the Countries having Data Use Score between 32 and 57?,SELECT country FROM spi_index_labelled_vFinal WHERE data_use_score > 32 AND data_use_score < 57
Classification of national industry of Solomon Islands before 2013.,SELECT classification_of_national_industry FROM spi_index_labelled_vFinal WHERE date < 2013 AND country = 'Solomon Islands'
count Business process by region,"SELECT count(business_process), region FROM spi_index_labelled_vFinal GROUP BY region"
What is the Countries having Data Use Score between 2 and 90 in 2017?,SELECT country FROM spi_index_labelled_vFinal WHERE data_use_score > 2 AND data_use_score < 90 AND date = 2017
Legislation Indicator based on PARIS21 indicators on SDG 17.18.2 of Slovenia after 2009,SELECT legislation_indicator_based_on_paris21_indicators_on_sdg_17.18.2 FROM spi_index_labelled_vFinal WHERE date > 2009 AND country ='Slovenia'
total of Business process,SELECT sum(business_process) FROM spi_index_labelled_vFinal
Top 44 countries by Data services,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'data_services' DESC LIMIT 44
Show me maximum of Central government accounting status in 2011.,SELECT max(central_government_accounting_status) FROM spi_index_labelled_vFinal WHERE date = 2011
population of Kosovo after 2007,SELECT population FROM spi_index_labelled_vFinal WHERE date > 2007 AND country ='Kosovo'
"count of Household Survey on income, etc in 2009",SELECT count(household_survey_on_income_etc) FROM spi_index_labelled_vFinal WHERE date = 2009
What is the Download Options Score of Equatorial Guinea in 2005.,SELECT download_options_score FROM spi_index_labelled_vFinal WHERE country = 'Equatorial Guinea' AND date = 2005
Finance Indicator based on PARIS21 indicators on SDG 17.18.3 & SDG 17.19.1 and NADA metadata of Luxembourg since 2016?,"SELECT finance_indicator_based_on_paris21_indicators_on_sdg_17.18.3_&_sdg_17.19.1 , nada_metadata FROM spi_index_labelled_vFinal WHERE date > 2016 AND country = 'Luxembourg'"
Top 1 countries by Data services,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'data_services' DESC LIMIT 1
count Business process by region.,"SELECT count(business_process), region FROM spi_index_labelled_vFinal GROUP BY region"
Health/Demographic survey of Canada in 2014.,SELECT health/demographic_survey FROM spi_index_labelled_vFinal WHERE country = 'Canada' AND date = 2014
Tell me the Countries having SPI Overall Score between 33 and 50,SELECT country FROM spi_index_labelled_vFinal WHERE spi_overall_score > 33 AND spi_overall_score < 50
List of Censuses only of Sint Maarten (Dutch part) before 2015?,SELECT censuses_only FROM spi_index_labelled_vFinal WHERE date < 2015 AND country = 'Sint Maarten (Dutch part)'
Countries having Data Service Score between 47 and 79 in 2015.,SELECT country FROM spi_index_labelled_vFinal WHERE data_service_score > 47 AND data_service_score < 79 AND date = 2015
Top 56 countries by Economic Statistics.,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'economic_statistics' DESC LIMIT 56
"average of Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME in Middle East & North Africa.",SELECT avg(availability_of_mortality_rate_under-5_(per_1000_live_births)_data_meeting_quality_standards_according_to_un_igme) FROM spi_index_labelled_vFinal WHERE region = 'Middle East & North Africa'
Data Products Score and Data Products Score of Isle of Man since 2012,"SELECT data_products_score , data_products_score FROM spi_index_labelled_vFinal WHERE date > 2012 AND country = 'Isle of Man'"
ODIN Open Data Openness Score and SPI Overall Score of India since 2007?,"SELECT odin_open_data_openness_score , spi_overall_score FROM spi_index_labelled_vFinal WHERE date > 2007 AND country = 'India'"
List Top 15 countries by Good Health and Well-being,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'good_health_and_well-being' DESC LIMIT 15
Download Options Score and SPI Overall Score of Togo since 2019?,"SELECT download_options_score , spi_overall_score FROM spi_index_labelled_vFinal WHERE date > 2019 AND country = 'Togo'"
Download Options Score and Non_Proprietary format Score of Rwanda since 2006?,"SELECT download_options_score , non_proprietary_format_score FROM spi_index_labelled_vFinal WHERE date > 2006 AND country = 'Rwanda'"
count Censuses only by region.,"SELECT count(censuses_only), region FROM spi_index_labelled_vFinal GROUP BY region"
Affordable and Clean Energy and Reduced Inequality of Tajikistan since 2004.,"SELECT affordable_and_clean_energy , reduced_inequality FROM spi_index_labelled_vFinal WHERE date > 2004 AND country = 'Tajikistan'"
Classification of household consumption of Eswatini in 2018,SELECT classification_of_household_consumption FROM spi_index_labelled_vFinal WHERE country = 'Eswatini' AND date = 2018
Data Sources Score and Data Use Score of Greenland since 2009,"SELECT data_sources_score , data_use_score FROM spi_index_labelled_vFinal WHERE date > 2009 AND country = 'Greenland'"
Countries having ODIN Open Data Openness Score between 0.2 and 0.5 in 2015?,SELECT country FROM spi_index_labelled_vFinal WHERE odin_open_data_openness_score > 0.2 AND odin_open_data_openness_score < 0.5 AND date = 2015
maximum of SDDS/e-GDDS subscription in East Asia & Pacific in 2017,SELECT max(sdds/e-gdds_subscription) FROM spi_index_labelled_vFinal WHERE region = 'East Asia & Pacific' AND date = 2017
Availability of Comparable Poverty headcount ratio at 1.90 a day of Georgia after 2011,SELECT availability_of_comparable_poverty_headcount_ratio_at_1.90_a_day FROM spi_index_labelled_vFinal WHERE date > 2011 AND country ='Georgia'
List of Countries having Non_Proprietary format Score between 0.3 and 0.7 in 2013?,SELECT country FROM spi_index_labelled_vFinal WHERE non_proprietary_format_score > 0.3 AND non_proprietary_format_score < 0.7 AND date = 2013
Top 15 countries by Affordable and Clean Energy,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'affordable_and_clean_energy' DESC LIMIT 15
Show me count Geospatial Data by region,"SELECT count(geospatial_data), region FROM spi_index_labelled_vFinal GROUP BY region"
Countries having Non_Proprietary format Score between 0.2 and 0.7,SELECT country FROM spi_index_labelled_vFinal WHERE non_proprietary_format_score > 0.2 AND non_proprietary_format_score < 0.7
average of CPI base year in South Asia in 2011?,SELECT avg(cpi_base_year) FROM spi_index_labelled_vFinal WHERE region = 'South Asia' AND date = 2011
Classification of national industry and Classification of status of employment of Italy since 2015?,"SELECT classification_of_national_industry , classification_of_status_of_employment FROM spi_index_labelled_vFinal WHERE date > 2015 AND country = 'Italy'"
What is the Countries having Download Options Score between 0.1 and 0.3,SELECT country FROM spi_index_labelled_vFinal WHERE download_options_score > 0.1 AND download_options_score < 0.3
minimum Institutional Statistics by region,"SELECT min(institutional_statistics), region FROM spi_index_labelled_vFinal GROUP BY region"
Tell me the Data use by international organizations of United States after 2016.,SELECT data_use_by_international_organizations FROM spi_index_labelled_vFinal WHERE date > 2016 AND country ='United States'
List of Finance of Haiti after 2018,SELECT finance FROM spi_index_labelled_vFinal WHERE date > 2018 AND country ='Haiti'
total Compilation of government finance statistics by region?,"SELECT sum(compilation_of_government_finance_statistics), region FROM spi_index_labelled_vFinal GROUP BY region"
Countries having Metadata Available Score between 0.0 and 0.2 in 2018?,SELECT country FROM spi_index_labelled_vFinal WHERE metadata_available_score > 0.0 AND metadata_available_score < 0.2 AND date = 2018
count of Labor Force Survey,SELECT count(labor_force_survey) FROM spi_index_labelled_vFinal
List Countries having Data Service Score between 92 and 95 in 2016.,SELECT country FROM spi_index_labelled_vFinal WHERE data_service_score > 92 AND data_service_score < 95 AND date = 2016
ODIN Open Data Openness Score of Botswana in 2017,SELECT odin_open_data_openness_score FROM spi_index_labelled_vFinal WHERE country = 'Botswana' AND date = 2017
minimum of Finance in 2008,SELECT min(finance) FROM spi_index_labelled_vFinal WHERE date = 2008
average Labor Force Survey by region,"SELECT avg(labor_force_survey), region FROM spi_index_labelled_vFinal GROUP BY region"
maximum of weights in Middle East & North Africa in 2016?,SELECT max(weights) FROM spi_index_labelled_vFinal WHERE region = 'Middle East & North Africa' AND date = 2016
Countries having Machine Readability Score between 0.4 and 0.7?,SELECT country FROM spi_index_labelled_vFinal WHERE machine_readability_score > 0.4 AND machine_readability_score < 0.7
Top 7 countries by Quality Education?,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'quality_education' DESC LIMIT 7
total of Zero Hunger in Europe & Central Asia?,SELECT sum(zero_hunger) FROM spi_index_labelled_vFinal WHERE region = 'Europe & Central Asia'
Countries having Terms of Use Score between 0.1 and 0.9?,SELECT country FROM spi_index_labelled_vFinal WHERE terms_of_use_score > 0.1 AND terms_of_use_score < 0.9
Tell me the Countries having Machine Readability Score between 0.2 and 0.5 in 2008,SELECT country FROM spi_index_labelled_vFinal WHERE machine_readability_score > 0.2 AND machine_readability_score < 0.5 AND date = 2008
"List of Household Survey on income, etc and Online access of Kiribati since 2006","SELECT household_survey_on_income_etc , online_access FROM spi_index_labelled_vFinal WHERE date > 2006 AND country = 'Kiribati'"
